Municípios,Estimativas Populacionais - DEE\Total\2021,Idese\2021,PIB\Total\2021 (R$ mil),PIB\Impostos\2021 (R$ mil),PIB\Indústria\2021 (R$ mil),PIB\Agropecuária\2021 (R$ mil),PIB\Serviços\Total\2021,PIB per capita\2021 (R$),COREDE,Fronteira Argentina,Fronteira Uruguai,Fronteira Santa Catarina,Litorâneo
Aceguá,4.505,"0,7692","458.224,03","23.962,72","20.614,38","269.423,34","144.223,60","91.994,39",Campanha,Não,Sim,Não,Não
Água Santa,4.256,"0,8954","547.411,66","69.778,23","24.609,42","158.098,36","294.925,65","146.445,07",Nordeste,Não,Não,Não,Não
Agudo,16.612,"0,7502","667.873,46","70.968,24","101.412,74","201.172,60","294.319,88","40.863,53",Central,Não,Não,Não,Não
Ajuricaba,7.447,"0,8355","521.058,84","40.284,39","36.130,66","247.930,52","196.713,26","74.961,71",Noroeste Colonial,Não,Não,Não,Não
Alecrim,6.403,"0,7311","162.072,24","8.649,33","4.543,09","61.909,00","86.970,81","28.383,93",Fronteira Noroeste,Sim,Não,Não,Não
Alegrete,72.085,"0,7583","3.079.871,27","215.109,10","260.841,38","1.129.604,87","1.474.315,92","42.485,08",Fronteira Oeste,Não,Não,Não,Não
Alegria,4.219,"0,7743","156.621,88","10.383,39","3.775,15","75.782,49","66.680,85","47.648,88",Fronteira Noroeste,Não,Não,Não,Não
Almirante Tamandaré do Sul,2.074,"0,8396","276.410,77","19.649,76","28.161,46","156.681,87","71.917,68","142.847,94",Produção,Não,Não,Não,Não
Alpestre,7.216,"0,7327","196.381,24","8.340,18","25.565,56","67.275,68","95.199,82","33.369,80",Médio Alto Uruguai,Não,Não,Sim,Não
Alto Alegre,1.914,"0,8101","106.140,70","4.615,09","2.952,16","62.503,02","36.070,42","66.755,15",Alto da Serra do Botucaraí,Não,Não,Não,Não
Alto Feliz,3.225,"0,8029","161.547,85","17.984,56","51.050,68","43.492,56","49.020,05","53.088,35",Vale do Caí,Não,Não,Não,Não
Alvorada,209.157,"0,5920","3.302.247,51","343.250,34","475.711,03","1.325,75","2.481.960,38","15.550,82",Metropolitano Delta do Jacuí,Não,Não,Não,Não
Amaral Ferrador,6.439,"0,6773","147.631,77","4.713,77","4.029,16","58.337,40","80.551,43","20.688,31",Sul,Não,Não,Não,Não
Ametista do Sul,7.670,"0,7184","177.770,39","18.658,86","44.189,58","25.211,05","89.710,91","24.036,02",Médio Alto Uruguai,Não,Não,Sim,Não
André da Rocha,1.244,"0,8189","193.088,91","6.348,57","5.517,45","137.604,64","43.618,25","142.922,95",Campos de Cima da Serra,Não,Não,Não,Não
Anta Gorda,6.785,"0,7915","322.291,50","35.805,27","20.625,86","130.819,88","135.040,49","54.248,70",Vale do Taquari,Não,Não,Não,Não
